Host_Gender,Latitude,Longitude,Area,Room_type,Minimum_nights,review_per_month,total_reviews,price
1,40764,-73772,0,1,3,7780,105,2
0,40765,-73773,1,0,4,3130,1,1
1,40761,-73772,4,1,1,6720,84,0
1,40764,-73771,0,0,4,3310,48,1
1,40763,-73773,4,0,3,2080,74,2
0,40766,-73770,4,1,2,4059,244,0
1,40761,-73777,1,1,1,7560,47,2
1,40765,-73775,2,0,5,850,117,2
1,40761,-73770,1,0,4,2690,7,1
1,40766,-73776,4,1,3,2730,179,0
1,40768,-73776,1,1,1,80,160,2
0,40768,-73771,1,1,1,6590,491,2
0,40762,-73778,3,1,1,7870,291,0
1,40767,-73778,1,0,3,1320,83,1
0,40765,-73773,0,0,3,3930,1,1
1,40768,-73776,3,1,3,360,106,0
0,40765,-73775,1,1,1,14670,65,2
1,40764,-73777,1,0,4,2990,168,1
1,40763,-73775,4,1,2,4460,146,0
1,40760,-73770,0,0,5,1210,113,1
0,40762,-73777,1,0,5,4520,179,1
1,40760,-73779,0,1,3,9140,102,2
0,40768,-73779,3,0,5,4300,5,2
1,40768,-73771,0,0,5,4280,39,1
0,40764,-73777,0,0,4,1660,68,1
0,40766,-73771,1,0,4,2100,71,1
1,40762,-73779,1,0,4,3750,106,1
0,40762,-73779,4,1,2,1270,198,0
1,40768,-73770,1,0,3,4380,66,1
1,40760,-73774,2,1,1,3630,192,0
1,40766,-73772,4,0,3,3760,159,0
0,40769,-73776,2,1,2,14190,101,0
1,40763,-73775,3,1,2,8360,156,0
1,40767,-73773,3,1,2,12940,24,0
1,40766,-73771,2,1,2,14490,159,0
1,40765,-73772,2,1,1,3150,42,0
1,40764,-73772,4,1,3,2980,242,0
0,40760,-73778,2,1,3,10890,145,0
0,40767,-73770,1,1,2,2630,95,2
0,40760,-73772,0,0,5,970,129,1
1,40769,-73776,3,0,4,3450,179,0
1,40761,-73777,3,1,1,180,108,0
1,40767,-73776,0,0,4,1700,88,1
0,40762,-73770,3,0,5,1590,123,2
1,40762,-73774,2,1,1,8580,141,0
1,40761,-73772,2,0,3,350,179,0
0,40767,-73779,0,1,1,3240,90,2
0,40766,-73776,1,1,1,6800,227,2
1,40763,-73774,3,1,2,9980,123,0
1,40766,-73772,2,0,3,1560,80,2
0,40764,-73770,1,1,3,180,225,2
0,40769,-73776,4,1,2,5530,80,0
1,40764,-73770,2,0,5,3440,124,0
1,40761,-73770,4,1,2,11580,318,0
1,40760,-73777,1,1,2,14170,202,2
1,40760,-73777,3,0,4,1260,162,2
0,40764,-73779,2,0,4,2720,74,2
0,40760,-73776,2,0,3,970,69,2
1,40766,-73771,4,0,4,3120,146,2
1,40768,-73770,0,1,2,12020,151,2
0,40768,-73771,1,0,4,2390,193,1
0,40766,-73770,1,0,3,1820,161,1
0,40760,-73770,0,1,3,9320,489,2
0,40763,-73778,4,1,2,10880,233,0
1,40760,-73770,2,0,4,4730,73,0
1,40763,-73779,3,1,3,1130,304,0
0,40769,-73776,1,0,5,3450,19,1
1,40762,-73777,0,1,2,8310,179,2
1,40760,-73776,2,1,3,12870,491,0
1,40767,-73775,3,1,3,12030,384,0
0,40763,-73776,4,1,2,2240,284,0
1,40763,-73770,3,0,5,3020,187,0
1,40762,-73778,3,0,4,4650,58,2
0,40764,-73775,1,0,4,2090,100,1
1,40769,-73772,0,1,2,14430,49,2
0,40764,-73777,3,0,5,4070,119,2
0,40760,-73772,0,0,5,4110,147,1
0,40767,-73778,1,1,2,8029,247,2
0,40768,-73775,4,0,5,610,149,2
1,40765,-73771,0,0,4,2190,65,1
0,40763,-73775,3,0,3,2130,116,2
1,40767,-73777,3,1,1,11450,145,0
1,40769,-73774,2,0,3,3290,35,2
1,40761,-73779,1,1,3,12020,102,2
1,40767,-73779,2,0,5,1380,37,0
1,40765,-73779,1,0,5,640,113,1
0,40761,-73777,0,0,4,3440,8,1
1,40766,-73775,3,1,3,2270,119,0
0,40763,-73776,0,0,4,2960,55,1
0,40762,-73776,3,1,1,340,205,0
0,40763,-73770,3,0,4,2340,84,2
0,40766,-73774,0,0,3,4500,89,1
0,40768,-73772,2,0,3,1750,138,2
1,40767,-73777,1,1,3,13990,393,2
1,40760,-73779,4,1,1,7640,220,0
0,40762,-73770,2,1,1,12270,86,0
1,40764,-73775,4,0,3,20,54,0
0,40765,-73773,2,1,1,5040,92,0
0,40764,-73776,0,1,1,11770,53,1
0,40761,-73773,1,0,3,4340,136,1
1,40765,-73773,1,1,3,6480,100,2
1,40765,-73778,2,1,2,8640,208,0
1,40769,-73778,2,0,5,3490,7,0
1,40761,-73778,1,0,5,2160,102,1
1,40767,-73773,3,1,1,10000,138,0
1,40760,-73771,0,0,3,1210,174,1
0,40768,-73773,2,1,1,3110,130,0
1,40760,-73775,3,0,3,3120,181,2
1,40765,-73770,0,1,2,4059,104,2
1,40767,-73771,1,0,4,4000,170,1
0,40761,-73770,0,0,4,4860,25,1
1,40760,-73772,1,1,3,1550,96,2
0,40768,-73776,3,1,2,2140,150,0
0,40767,-73774,2,1,3,7530,229,0
0,40768,-73771,0,0,4,400,57,1
1,40763,-73779,2,0,4,350,46,0
1,40761,-73775,1,1,1,7620,207,2
1,40760,-73779,0,0,3,2960,122,1
0,40768,-73778,0,0,5,2260,189,1
0,40768,-73770,0,1,3,3920,114,2
1,40767,-73770,0,0,5,4540,189,1
1,40760,-73773,0,1,1,12040,243,2
0,40760,-73775,1,1,1,650,200,2
1,40767,-73778,1,0,5,1240,156,1
0,40766,-73773,4,0,4,3270,57,2
0,40767,-73771,3,1,3,9850,499,0
0,40765,-73773,3,0,3,3320,189,2
0,40762,-73775,0,1,1,9550,26,2
1,40769,-73775,0,1,1,5420,391,2
1,40769,-73775,2,1,1,13700,362,0
1,40762,-73773,0,1,2,2630,224,2
1,40769,-73773,1,0,4,810,115,1
0,40768,-73770,2,0,5,3940,36,2
1,40762,-73774,4,0,4,410,93,2
0,40764,-73775,3,1,1,12180,284,0
1,40763,-73770,0,0,3,240,161,1
1,40760,-73775,2,0,4,4790,158,2
0,40761,-73775,3,0,3,510,101,2
0,40763,-73770,3,1,2,630,123,0
0,40761,-73775,1,1,2,6270,449,2
0,40769,-73775,1,0,4,1960,87,1
0,40760,-73778,1,0,3,550,167,1
0,40769,-73773,0,1,1,14410,236,1
1,40761,-73770,3,0,3,1950,120,0
1,40762,-73775,0,1,2,7680,18,2
0,40763,-73779,4,0,5,3820,150,2
1,40765,-73777,1,1,2,12070,9,2
0,40761,-73774,0,0,5,4450,124,1
0,40766,-73774,3,1,2,13880,170,0
1,40768,-73779,3,1,3,11850,87,0
1,40768,-73776,2,0,3,230,21,0
1,40765,-73779,1,0,5,350,87,1
1,40768,-73779,0,1,3,13750,311,2
0,40768,-73770,3,0,4,1050,121,2
0,40767,-73777,4,0,5,4600,75,2
1,40767,-73773,0,0,3,2640,182,1
1,40766,-73775,2,1,1,1420,87,0
0,40760,-73777,2,0,3,3970,48,2
0,40766,-73775,2,1,2,2560,50,0
0,40764,-73779,0,0,4,4370,60,1
1,40765,-73776,0,1,1,2630,202,2
0,40762,-73777,3,0,3,2880,174,2
1,40768,-73772,0,0,3,990,55,1
0,40768,-73778,1,0,5,740,76,1
1,40765,-73772,4,1,1,10080,350,0
1,40761,-73774,3,0,3,300,83,0
0,40767,-73775,1,0,4,360,33,1
1,40763,-73773,1,1,2,8720,115,2
1,40769,-73774,4,1,3,13930,124,0
1,40763,-73778,0,0,3,4290,53,1
0,40764,-73770,1,0,5,4300,161,1
1,40769,-73778,0,0,5,260,73,1
1,40765,-73777,3,0,3,4680,160,0
1,40762,-73771,4,0,5,1140,97,2
1,40763,-73774,0,1,1,13560,211,2
1,40765,-73779,0,0,5,420,154,1
0,40766,-73771,1,0,5,1620,180,1
1,40767,-73776,3,1,1,11590,13,0
0,40763,-73779,3,1,2,13930,467,0
1,40765,-73773,1,0,4,10,17,1
0,40760,-73777,4,1,2,6850,321,0
0,40768,-73779,0,0,3,1610,164,1
1,40763,-73775,4,0,4,4650,164,2
0,40768,-73774,3,0,4,540,95,2
1,40763,-73775,2,0,3,4710,66,0
1,40766,-73775,1,0,3,1500,176,1
0,40763,-73775,0,0,5,230,168,1
1,40766,-73776,2,0,4,3640,160,0
0,40768,-73772,3,1,2,2200,264,0
1,40764,-73778,0,1,2,4430,284,2
1,40763,-73775,0,0,3,500,169,1
0,40760,-73772,0,0,5,2940,133,1
1,40765,-73774,0,0,5,2070,158,1
1,40764,-73770,4,0,4,630,123,2
1,40762,-73775,1,0,3,380,102,1
0,40768,-73774,1,0,4,1160,110,1
1,40767,-73778,1,0,5,640,43,1
1,40763,-73776,0,1,3,7320,200,2
0,40763,-73775,2,0,3,3090,104,2
0,40768,-73773,1,0,5,470,175,1
0,40760,-73770,1,1,2,6110,99,2
1,40766,-73774,0,1,2,2690,190,2
0,40768,-73776,3,1,1,4050,94,0
1,40769,-73775,2,1,2,850,240,0
1,40761,-73773,2,1,1,8760,389,0
1,40766,-73777,4,1,2,420,72,0
0,40766,-73778,3,0,5,2510,18,2
0,40760,-73776,1,0,4,3080,115,1
0,40767,-73778,2,0,4,1990,13,2
0,40762,-73776,2,0,4,3890,64,2
1,40763,-73770,3,0,5,1550,49,2
0,40765,-73777,1,0,4,2700,173,1
0,40765,-73779,3,0,5,4510,19,2
1,40760,-73771,1,0,4,4570,193,1
1,40764,-73776,3,1,2,10630,88,0
1,40768,-73774,0,1,1,5750,54,2
1,40762,-73774,1,1,3,13930,203,2
1,40768,-73774,1,1,3,14940,74,2
1,40769,-73776,4,0,4,90,176,2
1,40761,-73771,2,1,2,11440,239,0
1,40761,-73777,1,1,1,14190,67,2
1,40763,-73770,2,1,2,5610,142,0
0,40767,-73774,0,0,5,890,28,1
0,40761,-73778,3,1,2,13450,181,0
1,40764,-73770,3,1,2,4760,238,0
1,40761,-73770,3,0,4,1720,127,2
0,40764,-73779,3,1,3,12900,99,0
0,40769,-73770,4,0,4,4590,194,2
0,40762,-73777,1,0,3,200,92,1
0,40769,-73779,3,1,1,14020,243,0
0,40769,-73771,2,0,4,1410,122,2
1,40769,-73774,0,0,4,2000,135,1
0,40763,-73779,1,0,3,4070,193,1
1,40764,-73779,3,1,1,13600,206,0
1,40769,-73774,3,0,5,810,131,0
1,40760,-73772,0,0,4,1070,61,1
1,40763,-73779,0,1,2,220,268,2
0,40763,-73774,1,0,5,1740,160,1
1,40760,-73778,0,1,2,4800,123,2
0,40762,-73777,0,0,5,2150,195,1
0,40764,-73773,0,0,4,2090,45,1
1,40765,-73774,0,1,2,11550,244,2
0,40761,-73771,1,0,3,1240,60,1
0,40760,-73773,1,1,2,13590,261,1
1,40763,-73773,1,0,4,4160,145,1
0,40762,-73777,1,0,4,1480,89,1
0,40765,-73779,4,0,5,290,18,2
1,40761,-73779,0,0,5,1180,85,1
1,40762,-73773,3,1,1,10180,8,0
1,40769,-73770,4,0,4,1910,199,0
1,40763,-73773,3,0,3,1790,174,2
0,40768,-73775,0,1,2,9340,47,2
1,40765,-73772,2,1,1,6190,474,0
1,40761,-73773,0,1,2,11090,300,2
0,40761,-73779,0,0,5,2710,198,1
1,40761,-73773,4,1,1,7350,6,0
1,40768,-73771,1,1,3,5680,147,2
1,40769,-73774,4,0,4,1750,26,0
1,40766,-73775,4,1,2,13780,87,0
0,40768,-73772,0,0,4,1410,53,1
1,40768,-73772,3,1,1,14850,318,0
1,40764,-73778,0,0,5,2120,121,1
1,40763,-73770,4,0,3,3110,121,0
0,40766,-73770,1,1,2,7710,83,2
1,40768,-73779,1,1,3,340,193,2
1,40765,-73771,4,0,3,2220,19,2
0,40769,-73778,2,0,5,2810,114,2
1,40765,-73776,1,0,5,4100,14,1
1,40762,-73773,4,0,5,2800,148,2
1,40762,-73776,4,0,3,2950,112,0
1,40763,-73778,1,1,3,11810,162,2
1,40763,-73776,3,1,2,10430,1,0
0,40766,-73774,4,0,4,1120,116,2
0,40769,-73777,3,1,3,9880,350,0
1,40764,-73777,0,1,3,4490,285,2
0,40766,-73779,0,0,3,1660,151,1
1,40761,-73779,1,0,5,4910,76,1
1,40760,-73776,0,1,3,7620,197,2
1,40761,-73775,4,0,4,4140,12,2
0,40764,-73778,1,1,3,5970,57,2
1,40761,-73772,1,0,5,1270,62,1
0,40766,-73778,0,1,1,4470,146,2
0,40767,-73775,0,1,3,11500,102,2
1,40767,-73774,3,1,1,6010,406,0
0,40761,-73778,3,0,4,740,154,2
1,40764,-73779,2,1,2,10560,86,0
1,40760,-73779,3,1,2,1130,195,0
1,40763,-73775,1,0,3,3480,112,1
1,40762,-73778,1,0,5,4210,80,1
1,40768,-73775,3,1,2,7290,28,0
0,40761,-73773,4,0,4,4960,62,2
0,40760,-73779,0,0,3,4680,180,1
1,40766,-73775,3,1,1,2990,411,0
1,40769,-73774,4,0,5,1750,3,2
1,40761,-73776,2,0,4,3860,25,0
0,40763,-73776,2,0,4,3860,172,2
0,40766,-73770,2,1,2,290,196,0
0,40761,-73777,1,1,1,13090,46,1
0,40762,-73774,0,1,2,10730,124,2
0,40760,-73774,0,1,1,3120,229,2
0,40768,-73772,1,1,1,8340,444,2
0,40764,-73772,2,1,1,10310,414,0
0,40760,-73776,1,1,3,5910,271,2
1,40769,-73775,3,1,2,7390,159,0
1,40768,-73770,1,1,1,9360,311,2
1,40762,-73770,4,0,3,3180,18,0
1,40764,-73774,3,1,3,6290,192,0
1,40760,-73772,4,0,5,670,58,0
0,40764,-73771,1,0,4,1240,164,1
0,40764,-73772,0,1,2,2480,493,2
0,40765,-73775,4,0,4,1500,108,2
1,40765,-73771,1,1,3,10660,115,2
1,40765,-73778,1,1,1,11380,168,2
0,40766,-73774,2,0,3,1470,136,2
1,40768,-73777,2,0,3,260,114,0
1,40763,-73772,4,0,3,1190,198,2
1,40763,-73777,1,1,2,11880,154,2
0,40760,-73779,0,1,2,3610,151,2
1,40768,-73771,0,1,1,7430,233,2
1,40761,-73775,4,1,1,6680,13,0
1,40766,-73773,2,1,2,11460,242,0
0,40766,-73770,0,1,1,1400,241,2
1,40765,-73773,2,1,2,8590,12,0
0,40767,-73773,0,1,3,4860,141,2
0,40764,-73779,2,1,2,1040,226,0
0,40764,-73779,0,1,1,11180,132,2
0,40765,-73773,3,1,3,8700,49,0
1,40769,-73774,2,1,3,4630,124,0
1,40760,-73777,4,0,5,3090,115,2
0,40764,-73771,3,0,3,1760,59,2
0,40766,-73777,0,1,2,13970,4,2
0,40760,-73779,2,0,4,3680,78,2
0,40760,-73775,0,0,4,1620,56,1
1,40768,-73779,2,1,1,12430,160,0
1,40761,-73775,3,1,2,1000,121,0
1,40762,-73773,2,0,3,4030,124,0
1,40767,-73775,0,0,5,590,172,1
0,40765,-73777,0,0,5,3230,83,1
1,40761,-73770,1,1,1,2530,51,2
1,40765,-73773,4,1,3,3710,21,0
1,40761,-73776,3,0,4,4880,29,2
0,40768,-73775,3,0,4,570,83,2
1,40769,-73772,0,0,5,650,128,1
1,40766,-73771,4,1,3,10900,352,0
1,40767,-73774,4,1,2,13420,64,0
1,40764,-73770,0,0,4,2760,175,1
1,40764,-73770,4,1,3,1940,22,0
0,40761,-73770,1,1,3,7460,10,2
0,40765,-73777,4,0,3,3020,55,2
0,40761,-73771,0,1,3,14030,377,2
0,40761,-73771,1,1,2,1850,344,2
1,40766,-73771,3,0,4,2009,135,2
1,40764,-73771,0,0,4,2640,35,1
0,40763,-73772,4,1,1,4150,63,0
0,40769,-73772,0,0,3,1570,159,1
0,40766,-73779,0,0,3,3140,47,1
0,40764,-73776,0,0,5,1150,180,1
1,40768,-73774,0,1,3,3160,173,2
0,40761,-73777,0,0,3,960,88,1
0,40769,-73775,3,0,3,580,16,2
1,40766,-73779,3,0,5,4310,127,0
1,40765,-73774,0,1,3,10520,195,2
1,40761,-73776,0,0,5,3660,157,1
1,40760,-73773,2,0,5,600,172,0
1,40763,-73772,0,0,3,4620,43,1
1,40763,-73771,4,0,5,3070,136,0
0,40766,-73774,3,1,1,4920,109,0
1,40768,-73774,0,0,5,3790,43,1
1,40762,-73772,2,0,4,1150,38,0
1,40762,-73774,1,0,4,4180,22,1
0,40766,-73770,1,0,4,2880,53,1
1,40761,-73778,3,1,1,360,227,0
0,40767,-73779,0,1,2,11790,282,2
0,40762,-73777,3,1,1,11690,8,0
0,40763,-73776,3,0,4,4090,63,2
0,40764,-73772,0,1,1,2810,60,2
0,40761,-73778,1,1,2,1370,90,2
1,40768,-73776,0,0,4,4059,102,1
0,40769,-73779,0,1,2,5620,25,1
0,40764,-73775,3,0,3,230,76,2
1,40769,-73777,1,1,2,13010,484,2
0,40764,-73777,3,0,3,1310,133,2
0,40762,-73774,1,1,1,7170,186,2
0,40769,-73775,1,1,3,14040,382,2
1,40768,-73778,2,0,3,130,71,2
1,40767,-73775,1,1,3,13370,163,2
1,40769,-73773,0,1,2,390,125,2
0,40760,-73778,0,0,4,2890,42,1
1,40760,-73770,3,1,1,1980,55,0
0,40768,-73771,1,0,3,3770,47,1
1,40768,-73773,1,0,4,1910,183,1
0,40763,-73772,1,1,1,2570,249,2
0,40764,-73771,0,1,3,5870,218,2
0,40766,-73774,1,0,4,4920,65,1
1,40768,-73775,0,0,3,3580,20,1
0,40763,-73776,4,0,4,1050,45,2
0,40767,-73771,3,1,2,12510,440,0
1,40764,-73776,1,0,3,2009,51,1
0,40768,-73771,2,1,1,7490,222,0
1,40760,-73779,2,0,3,780,116,2
1,40763,-73770,4,1,2,2250,413,0
1,40760,-73771,2,1,1,14810,175,0
1,40764,-73777,0,0,5,1590,174,1
1,40768,-73771,2,0,5,4130,193,2
1,40764,-73777,0,1,1,14810,247,2
0,40766,-73779,0,0,3,4720,7,1
1,40769,-73773,4,0,4,4830,16,2
0,40766,-73771,4,1,1,7150,8,0
0,40761,-73778,1,1,2,280,107,2
0,40763,-73775,2,0,3,1200,198,2
1,40763,-73771,3,0,4,3560,119,2
1,40766,-73772,0,0,5,1850,196,1
1,40762,-73772,3,0,4,100,12,2
1,40769,-73778,3,1,3,6690,110,0
1,40762,-73771,1,1,2,14080,141,2
0,40768,-73775,4,0,4,2140,84,2
1,40764,-73776,2,0,3,910,46,0
1,40765,-73775,2,1,3,11020,197,0
1,40761,-73771,2,0,3,1420,184,0
0,40769,-73774,2,0,5,2910,108,2
0,40761,-73778,4,1,3,13860,390,0
0,40767,-73774,2,0,3,60,185,2
1,40761,-73772,1,0,4,2280,188,1
1,40763,-73777,4,1,3,10420,51,0
1,40763,-73774,4,1,3,8650,309,0
1,40764,-73771,1,0,3,2290,104,1
1,40762,-73770,1,1,1,6780,134,2
1,40766,-73778,3,0,3,1780,7,0
0,40761,-73778,3,0,4,310,139,2
1,40762,-73777,0,1,2,960,24,2
0,40765,-73772,2,0,4,1980,197,2
1,40765,-73778,0,0,4,4620,6,1
0,40764,-73772,3,0,5,2320,143,2
0,40761,-73779,0,0,3,4120,10,1
1,40760,-73771,4,0,4,950,99,2
1,40769,-73773,4,1,3,10710,352,0
1,40768,-73779,2,1,3,4120,56,0
0,40763,-73773,1,0,5,4090,179,1
0,40764,-73770,4,0,5,560,2,2
0,40765,-73772,0,0,3,3480,93,1
1,40762,-73774,3,1,2,9670,17,0
0,40761,-73771,0,1,3,6550,44,2
0,40761,-73775,1,1,2,7950,63,2
0,40767,-73771,3,1,3,1000,215,0
1,40769,-73777,1,0,5,1820,95,1
0,40760,-73770,4,0,4,2600,179,2
1,40761,-73778,1,1,3,13200,102,2
1,40762,-73771,4,1,2,6320,187,0
1,40765,-73772,2,1,1,220,176,0
0,40765,-73771,4,0,5,4110,54,2
1,40767,-73773,0,1,3,9150,250,2
0,40761,-73776,4,0,4,3210,161,2
0,40762,-73772,0,1,2,5030,494,1
1,40765,-73777,3,1,2,11170,146,0
1,40763,-73775,0,1,1,9330,58,2
0,40764,-73775,1,0,4,3820,191,1
0,40766,-73770,2,0,3,800,155,2
0,40762,-73774,1,1,2,11280,39,2
0,40761,-73778,0,1,2,70,44,2
1,40762,-73772,0,0,3,2750,88,1
0,40763,-73778,1,1,1,14780,71,2
0,40764,-73773,2,1,2,5420,118,0
0,40768,-73778,3,0,4,3270,126,2
0,40766,-73772,4,1,3,310,54,0
0,40766,-73770,3,0,5,4440,115,2
1,40760,-73770,2,1,2,6870,294,0
0,40760,-73774,1,1,3,14760,170,2
0,40763,-73770,1,0,3,3280,70,1
0,40763,-73777,2,0,4,4840,161,2
1,40761,-73771,2,1,3,1890,363,0
0,40762,-73774,3,1,2,6810,219,0
0,40762,-73778,1,0,4,4650,75,1
1,40764,-73774,0,1,1,640,241,2
1,40761,-73776,4,0,4,5000,192,2
0,40763,-73774,1,0,4,3750,15,1
1,40760,-73773,4,0,5,4510,94,2
0,40764,-73775,1,0,3,2090,98,1
